KEY_CODE,HYOSYO,CITYNAME,NAME,HTKSYORI,HTKSAKI,GASSAN,人口総数,男,女,世帯総数
37201,1,高松市,,0,,,417496,202029,215467,187511
372010010,2,高松市,塩屋町,0,,,218,117,101,125
372010020,2,高松市,築地町,0,,,654,317,337,399
372010030,3,高松市,塩上町,0,,,1598,806,792,1018
37201003000,4,高松市,塩上町,0,,,121,69,52,87
37201003001,4,高松市,塩上町一丁目,0,,,186,101,85,124
37201003002,4,高松市,塩上町二丁目,0,,,702,346,356,456
37201003003,4,高松市,塩上町三丁目,0,,,589,290,299,351
372010040,2,高松市,八坂町,0,,,81,38,43,45
372010050,2,高松市,福田町,0,,,295,139,156,175
372010060,3,高松市,常磐町,0,,,342,167,175,229
37201006001,4,高松市,常磐町一丁目,0,,,92,47,45,53
37201006002,4,高松市,常磐町二丁目,0,,,250,120,130,176
372010070,3,高松市,瓦町,0,,,438,211,227,267
37201007001,4,高松市,瓦町一丁目,0,,,201,101,100,120
37201007002,4,高松市,瓦町二丁目,0,,,237,110,127,147
372010080,2,高松市,古馬場町,0,,,89,40,49,67
372010090,2,高松市,御坊町,0,,,72,36,36,29
372010100,2,高松市,今新町,0,,,102,44,58,60
372010110,2,高松市,大工町,0,,,169,88,81,121
372010120,2,高松市,百間町,0,,,285,129,156,151
372010130,2,高松市,片原町,0,,,260,120,140,140
372010140,2,高松市,鶴屋町,0,,,232,110,122,139
372010150,2,高松市,本町,0,,,483,244,239,345
372010160,2,高松市,北浜町,0,,,531,220,311,247
372010170,3,高松市,朝日町,0,,,389,233,156,260
37201017001,4,高松市,朝日町一丁目,0,,,28,17,11,22
37201017002,4,高松市,朝日町二丁目,0,,,351,208,143,232
37201017003,4,高松市,朝日町三丁目,0,,,10,8,2,6
37201017004,4,高松市,朝日町四丁目,0,,,-,-,-,-
37201017005,4,高松市,朝日町五丁目,0,,,-,-,-,-
37201017006,4,高松市,朝日町六丁目,0,,,-,-,-,-
372010180,2,高松市,東浜町,0,,,55,23,32,32
372010190,3,高松市,城東町,0,,,243,126,117,157
37201019001,4,高松市,城東町一丁目,0,,,131,64,67,81
37201019002,4,高松市,城東町二丁目,0,,,112,62,50,76
372010200,2,高松市,朝日新町,0,,,2,2,-,2
372010210,2,高松市,通町,0,,,48,18,30,29
372010220,2,高松市,井口町,0,,,196,107,89,146
372010230,2,高松市,末広町,0,,,352,167,185,205
372010240,3,高松市,福岡町,0,,,3618,1787,1831,2008
37201024001,4,高松市,福岡町一丁目,0,,,337,168,169,175
37201024002,4,高松市,福岡町二丁目,0,,,1110,553,557,631
37201024003,4,高松市,福岡町三丁目,0,,,990,521,469,590
37201024004,4,高松市,福岡町四丁目,0,,,1181,545,636,612
372010250,3,高松市,松福町,0,,,2349,1464,885,1028
37201025001,4,高松市,松福町一丁目,0,,,997,492,505,562
37201025002,4,高松市,松福町二丁目,0,,,1352,972,380,466
372010260,3,高松市,松島町,0,,,2886,1377,1509,1561
37201026000,4,高松市,松島町,0,,,163,66,97,111
37201026001,4,高松市,松島町一丁目,0,,,456,233,223,261
37201026002,4,高松市,松島町二丁目,0,,,949,446,503,549
37201026003,4,高松市,松島町三丁目,0,,,1318,632,686,640
372010270,3,高松市,多賀町,0,,,1568,759,809,813
37201027001,4,高松市,多賀町一丁目,0,,,216,101,115,109
37201027002,4,高松市,多賀町二丁目,0,,,615,304,311,295
37201027003,4,高松市,多賀町三丁目,0,,,737,354,383,409
372010280,3,高松市,花園町,0,,,1543,718,825,804
37201028001,4,高松市,花園町一丁目,0,,,677,326,351,337
37201028002,4,高松市,花園町二丁目,0,,,347,169,178,194
37201028003,4,高松市,花園町三丁目,0,,,519,223,296,273
372010290,3,高松市,観光通,0,,,392,214,178,277
37201029001,4,高松市,観光通一丁目,0,,,243,128,115,166
37201029002,4,高松市,観光通二丁目,0,,,149,86,63,111
372010300,2,高松市,田町,0,,,358,172,186,214
372010310,2,高松市,東田町,0,,,169,78,91,117
372010320,3,高松市,藤塚町,0,,,2574,1156,1418,1461
37201032000,4,高松市,藤塚町,0,,,27,11,16,14
