"台帳ID","管理対象ID","名称","棟名","文化財種類","種別1","種別2","国","時代","重文指定年月日","国宝指定年月日","都道府県","所在地","保管施設の名称","所有者名","管理団体又は責任者","緯度","経度"
"101","00012295","秋元家住宅土蔵","","登録有形文化財(建造物)","住宅","建築物","","江戸","20180510","","千葉県","千葉県流山市流山二丁目109-9","","","","35.85560278000000","139.89960833000000"
"101","00002363","芥川荘","","登録有形文化財(建造物)","産業3次","建築物","","明治","20011012","","千葉県","千葉県長生郡一宮町一宮字林下9240-1","","","","35.38116777000000","140.38554778000000"
"101","00001246","熱海輪店（旧千葉銀行大網支店）","","登録有形文化財(建造物)","産業3次","建築物","","大正","19990823","","千葉県","千葉県山武郡大網白里町大網686-1","","","","35.52538448000000","140.32126369000000"
"101","00001170","新井時計店","","登録有形文化財(建造物)","産業3次","建築物","","昭和前","19990708","","千葉県","千葉県匝瑳市八日市場イ2450","","","","35.70180500000000","140.54946900000000"
"101","00014324","安藤家住宅稲荷社","","登録有形文化財(建造物)","住宅","建築物","","昭和前","20221031","","千葉県","千葉県袖ケ浦市代宿字野口1037-1","","","","35.45699167000000","140.02100000000000"
"101","00014322","安藤家住宅主屋","","登録有形文化財(建造物)","住宅","建築物","","江戸","20221031","","千葉県","千葉県袖ケ浦市代宿字野口1037-1","","","","35.45692222000000","140.02116389000000"
"101","00014323","安藤家住宅土蔵","","登録有形文化財(建造物)","住宅","建築物","","江戸","20221031","","千葉県","千葉県袖ケ浦市代宿字野口1037-1","","","","35.45677222000000","140.02124167000000"
"101","00011884","飯沼本家裏門及び塀","","登録有形文化財(建造物)","産業2次","その他工作物","","昭和前","20171027","","千葉県","千葉県印旛郡酒々井町馬橋字場々106-1","","","","35.70943700000000","140.27209200000000"
"101","00011883","飯沼本家甲子蔵","","登録有形文化財(建造物)","産業2次","建築物","","昭和前","20171027","","千葉県","千葉県印旛郡酒々井町馬橋字場々105-7他","","株式会社飯沼本家","","35.70927900000000","140.27204000000000"
"101","00011879","飯沼本家主屋","","登録有形文化財(建造物)","住宅","建築物","","江戸","20171027","","千葉県","千葉県印旛郡酒々井町馬橋字場々106-1","","","","35.70932800000000","140.27157500000000"
"101","00011880","飯沼本家離れ屋","","登録有形文化財(建造物)","住宅","建築物","","昭和前","20171027","","千葉県","千葉県印旛郡酒々井町馬橋字場々106-1","","","","35.70916500000000","140.27171500000000"
"101","00011881","飯沼本家前蔵","","登録有形文化財(建造物)","住宅","建築物","","明治","20171027","","千葉県","千葉県印旛郡酒々井町馬橋字場々106-1","","株式会社飯沼本家","","35.70921200000000","140.27181300000000"
"101","00011882","飯沼本家明治蔵","","登録有形文化財(建造物)","産業2次","建築物","","明治","20171027","","千葉県","千葉県印旛郡酒々井町馬橋字場々107-1他","","株式会社飯沼本家","","35.70967200000000","140.27188700000000"
"101","00012104","石上酒造麹室","","登録有形文化財(建造物)","産業2次","建築物","","明治","20180327","","千葉県","千葉県銚子市田中町7-1","","","","35.73263000000000","140.84255900000000"
"101","00012103","石上酒造米蔵","","登録有形文化財(建造物)","産業2次","建築物","","明治","20180327","","千葉県","千葉県銚子市田中町7-1","","","","35.73263000000000","140.84266200000000"
"101","00012105","石上酒造仕込蔵（醪蔵）","","登録有形文化財(建造物)","産業2次","建築物","","明治","20180327","","千葉県","千葉県銚子市田中町7-1","","","","35.73264100000000","140.84250200000000"
"101","00012106","石上酒造貯蔵蔵","","登録有形文化財(建造物)","産業2次","建築物","","明治","20180327","","千葉県","千葉県銚子市田中町7-1","","","","35.73276700000000","140.84251800000000"
"101","00012107","石上酒造文庫蔵","","登録有形文化財(建造物)","産業2次","建築物","","明治","20180327","","千葉県","千葉県銚子市田中町7-1","","","","35.73290100000000","140.84251400000000"
"101","00001177","石橋家住宅土蔵","","登録有形文化財(建造物)","住宅","建築物","","明治","19990708","","千葉県","千葉県成田市久井崎215","","","","35.84864093000000","140.41113848000000"
"101","00001176","石橋家住宅東の蔵","","登録有形文化財(建造物)","住宅","建築物","","明治","19990708","","千葉県","千葉県成田市久井崎215","","","","35.84856079000000","140.41117972000000"
"101","00001175","石橋家住宅南の蔵","","登録有形文化財(建造物)","住宅","建築物","","明治","19990708","","千葉県","千葉県成田市久井崎215","","","","35.84844755000000","140.41107914000000"
"101","00001174","石橋家住宅門","","登録有形文化財(建造物)","住宅","その他工作物","","明治","19990708","","千葉県","千葉県成田市久井崎215","","","","35.84849828000000","140.41114179000000"
"101","00007342","石原家住宅主屋","","登録有形文化財(建造物)","文化福祉","建築物","","明治","20081023","","千葉県","千葉県印旛郡栄町北辺田字前原573-1","","","","35.85315200000000","140.26213534000000"
"101","00001243","和泉公会堂","","登録有形文化財(建造物)","文化福祉","建築物","","大正","19990823","","千葉県","千葉県鴨川市和泉1612","","和泉区","","35.12876100000000","140.10270700000000"
"101","00007615","伊勢幸酒店店舗兼主屋","","登録有形文化財(建造物)","産業3次","建築物","","明治","20090428","","千葉県","千葉県夷隅郡大多喜町久保字根古屋132","","","","35.28652514000000","140.24649093000000"
"101","00009906","磯角商店主屋","","登録有形文化財(建造物)","住宅","建築物","","昭和中","20140425","","千葉県","千葉県銚子市飯沼町186","","","","35.73318021000000","140.84037507000000"
"101","00007970","一粒丸三橋薬局店舗","","登録有形文化財(建造物)","産業3次","建築物","","明治","20100115","","千葉県","千葉県成田市仲町363","","","","35.78432647000000","140.31730224000000"
"101","00007971","一粒丸三橋薬局土蔵","","登録有形文化財(建造物)","産業3次","建築物","","江戸","20100115","","千葉県","千葉県成田市仲町363","","","","35.78415834000000","140.31742322000000"
"101","00012503","伊藤家住宅井戸上屋","","登録有形文化財(建造物)","住宅","その他工作物","","明治","20181102","","千葉県","千葉県柏市増尾四丁目1383","","","","",""
"101","00012500","伊藤家住宅隠居屋","","登録有形文化財(建造物)","住宅","建築物","","明治","20181102","","千葉県","千葉県柏市増尾四丁目1383","","","","",""
"101","00012502","伊藤家住宅牛小屋","","登録有形文化財(建造物)","住宅","建築物","","明治","20181102","","千葉県","千葉県柏市増尾四丁目1383","","","","",""
"101","00013355","伊東家住宅主屋","","登録有形文化財(建造物)","住宅","建築物","","明治","20200817","","千葉県","千葉県山武郡芝山町小池1000","","","","35.69353611000000","140.41513333000000"
"101","00012498","伊藤家住宅主屋","","登録有形文化財(建造物)","住宅","建築物","","江戸","20181102","","千葉県","千葉県柏市増尾四丁目1383","","","","",""
"101","00012501","伊藤家住宅土蔵","","登録有形文化財(建造物)","住宅","建築物","","昭和前","20181102","","千葉県","千葉県柏市増尾四丁目1383","","","","",""
"101","00012499","伊藤家住宅離れ","","登録有形文化財(建造物)","住宅","建築物","","昭和前","20181102","","千葉県","千葉県柏市増尾四丁目1383","","","","",""
"101","00006501","岩井家住宅主屋（旧武蔵屋店舗）","","登録有形文化財(建造物)","産業3次","建築物","","大正","20071205","","千葉県","千葉県印西市木下1645","","","","35.83975553000000","140.14784573000000"
"101","00012879","上原家住宅石蔵","","登録有形文化財(建造物)","住宅","建築物","","大正","20190910","","千葉県","千葉県野田市桐ケ作字前山18","","","","36.05369444000000","139.81555556000000"
"101","00012880","上原家住宅表門","","登録有形文化財(建造物)","住宅","その他工作物","","明治","20190910","","千葉県","千葉県野田市桐ケ作字前山18-2","","","","36.05342222000000","139.81556667000000"
"101","00012877","上原家住宅書院","","登録有形文化財(建造物)","住宅","建築物","","明治","20190910","","千葉県","千葉県野田市桐ケ作字前山18","","","","36.05349167000000","139.81585556000000"
"101","00012878","上原家住宅土蔵","","登録有形文化財(建造物)","住宅","建築物","","明治","20190910","","千葉県","千葉県野田市桐ケ作字前山18","","","","36.05360000000000","139.81548889000000"
"101","00001166","内野家住宅洋館","","登録有形文化財(建造物)","住宅","建築物","","大正","19990708","","千葉県","千葉県銚子市長山町2034","","","","35.76955288000000","140.71786242000000"
"101","00013777","及川家住宅主屋","","登録有形文化財(建造物)","住宅","建築物","","江戸","20210624","","千葉県","千葉県匝瑳市飯塚字谷1263他","","","","35.73503056000000","140.55750556000000"
"101","00013778","及川家住宅土蔵","","登録有形文化財(建造物)","住宅","建築物","","明治","20210624","","千葉県","千葉県匝瑳市飯塚字谷1263他","","","","35.73488611000000","140.55743056000000"
